ScientificName	AphiaID	Match type	LSID	TSN	ScientificName	Authority	Qualitystatus	Taxon status	AphiaID_accepted	ScientificName_accepted	Authority_accepted	Kingdom	Phylum	Class	Order	Family	Genus	Subgenus	Species	Subspecies	isMarine	isBrackish	isFresh	isTerrestrial	Citation
Mikroconchoecia echinulata	127822	exact	urn:lsid:marinespecies.org:taxname:127822	684379	Mikroconchoecia echinulata	Claus, 1891	Checked by Taxonomic Editor	accepted	127822	Mikroconchoecia echinulata	Claus, 1891	Animalia	Arthropoda	Ostracoda	Halocyprida	Halocyprididae	Mikroconchoecia		echinulata		1		0	0	Brandão, S.N.; Antonietto, L.S; Nery, D.G.; Karanovic, I. (2022). World Ostracoda Database. Mikroconchoecia echinulata Claus, 1891. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=127822 on 2022-10-01
Eurysyllis tuberculata	131288	exact	urn:lsid:marinespecies.org:taxname:131288	65851	Eurysyllis tuberculata	Ehlers, 1864	Checked by Taxonomic Editor	accepted	131288	Eurysyllis tuberculata	Ehlers, 1864	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Eurysyllis		tuberculata		1	0	0	0	Read, G.; Fauchald, K. (Ed.) (2022). World Polychaeta Database. Eurysyllis tuberculata Ehlers, 1864. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131288 on 2022-10-01
Apherusa ovalipes	102172	exact	urn:lsid:marinespecies.org:taxname:102172	206427	Apherusa ovalipes	Norman & Scott, 1906	Checked by Taxonomic Editor	accepted	102172	Apherusa ovalipes	Norman & Scott, 1906	Animalia	Arthropoda	Malacostraca	Amphipoda	Calliopiidae	Apherusa		ovalipes		1				Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Apherusa ovalipes Norman & Scott, 1906. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102172 on 2022-10-01
Pseudevadne tergestina	106278	exact	urn:lsid:marinespecies.org:taxname:106278	684627	Pseudevadne tergestina	Claus, 1877	Checked by Taxonomic Editor	accepted	106278	Pseudevadne tergestina	Claus, 1877	Animalia	Arthropoda	Branchiopoda	Onychopoda	Podonidae	Pseudevadne		tergestina		1	0	0	0	WoRMS (2022). Pseudevadne tergestina Claus, 1877. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106278 on 2022-10-01
Pagurus prideaux	107239	exact	urn:lsid:marinespecies.org:taxname:107239	97818	Pagurus prideaux	Leach, 1815	Checked by Taxonomic Editor	accepted	107239	Pagurus prideaux	Leach, 1815	Animalia	Arthropoda	Malacostraca	Decapoda	Paguridae	Pagurus		prideaux		1	0	0	0	Lemaitre, R.; McLaughlin, P. (2022). World Paguroidea & Lomisoidea Database. Pagurus prideaux Leach, 1815. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=107239 on 2022-10-01
Muggiaea atlantica	135441	exact	urn:lsid:marinespecies.org:taxname:135441	51297	Muggiaea atlantica	Cunningham, 1892	Checked by Taxonomic Editor	accepted	135441	Muggiaea atlantica	Cunningham, 1892	Animalia	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Muggiaea		atlantica		1	0	0	0	Schuchert, P. (2022). World Hydrozoa Database. Muggiaea atlantica Cunningham, 1892. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135441 on 2022-10-01
Eudoxoides spiralis	135424	exact	urn:lsid:marinespecies.org:taxname:135424	51312	Eudoxoides spiralis	(Bigelow, 1911)	Checked by Taxonomic Editor	accepted	135424	Eudoxoides spiralis	(Bigelow, 1911)	Animalia	Cnidaria	Hydrozoa	Siphonophorae	Diphyidae	Eudoxoides		spiralis		1	0	0	0	Schuchert, P. (2022). World Hydrozoa Database. Eudoxoides spiralis (Bigelow, 1911). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135424 on 2022-10-01
Pereionotus testudo	102954	exact	urn:lsid:marinespecies.org:taxname:102954		Pereionotus testudo	(Montagu, 1808)	Checked by Taxonomic Editor	accepted	102954	Pereionotus testudo	(Montagu, 1808)	Animalia	Arthropoda	Malacostraca	Amphipoda	Phliantidae	Pereionotus		testudo		1	0	0	0	Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2022). World Amphipoda Database. Pereionotus testudo (Montagu, 1808). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=102954 on 2022-10-01
Apionsoma (Apionsoma) murinae	136077	exact	urn:lsid:marinespecies.org:taxname:136077		Apionsoma (Apionsoma) murinae	(Cutler, 1969)	Checked by Taxonomic Editor	accepted	136077	Apionsoma (Apionsoma) murinae	(Cutler, 1969)	Animalia	Annelida		Sipuncula	Phascolosomatidae	Apionsoma	Apionsoma	murinae		1	0	0	0	Saiz, J. (2022). World Sipuncula Database. Apionsoma (Apionsoma) murinae (Cutler, 1969). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=136077 on 2022-10-01
Centropages hamatus	104496	exact	urn:lsid:marinespecies.org:taxname:104496	85766	Centropages hamatus	(Lilljeborg, 1853)	Checked by Taxonomic Editor	accepted	104496	Centropages hamatus	(Lilljeborg, 1853)	Animalia	Arthropoda	Copepoda	Calanoida	Centropagidae	Centropages		hamatus		1	0	0	0	Walter, T.C.; Boxshall, G. (2022). World of Copepods Database. Centropages hamatus (Lilljeborg, 1853). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104496 on 2022-10-01
Cordagalma bimaculatum	872583	exact	urn:lsid:marinespecies.org:taxname:872583		Cordagalma bimaculatum	Pugh, 2016	Checked by Taxonomic Editor	accepted	872583	Cordagalma bimaculatum	Pugh, 2016	Animalia	Cnidaria	Hydrozoa	Siphonophorae	Cordagalmatidae	Cordagalma		bimaculatum		1	0	0	0	Schuchert, P. (2022). World Hydrozoa Database. Cordagalma bimaculatum Pugh, 2016. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=872583 on 2022-10-01
Onchnesoma steenstrupii steenstrupii	410742	exact	urn:lsid:marinespecies.org:taxname:410742	773092	Onchnesoma steenstrupii steenstrupii	Koren & Danielssen, 1876	Checked by Taxonomic Editor	accepted	410742	Onchnesoma steenstrupii steenstrupii	Koren & Danielssen, 1876	Animalia	Annelida		Sipuncula	Golfingiidae	Onchnesoma		steenstrupii	steenstrupii	1	0	0	0	Saiz, J. (2022). World Sipuncula Database. Onchnesoma steenstrupii steenstrupii Koren & Danielssen, 1876. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=410742 on 2022-10-01
